Roles	Users	OID	OptimisticLockField
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{FEBB5632-5F7F-4BE5-8875-8D8D05674BBE}	{747BA8BC-7A2F-419B-85DD-2266AF40B3AC}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{5E4A42B0-7184-4ABA-8EBB-999362B461C4}	{D7F6B509-074D-44CB-868B-24A2194DE5E8}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1831F02F-9B4E-476C-87D4-78C2AF8C878E}	{B20AC9BE-7312-46E1-9979-25ADE0A133FD}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{263E49E8-7D62-437D-9A67-302E8BDB3309}	{CC3DFCEC-1711-42FA-B7CD-268054AFEFF1}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{EBE0BAE1-F3BC-4C25-8065-76ADBE04A6AE}	{9E655582-CB3F-441B-A181-2683711F0FF8}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{19EF9418-9523-4292-934A-0A4ADD2E5904}	{2BD099C9-8CD9-481C-8ADD-28FF287B414B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{6A7A5123-DE6B-46FA-A36B-DF854A148F2D}	{D3B9A1EC-3A22-4902-A86C-2A3F8F7A624C}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{E7D968F7-5C26-4A59-90C2-07BA67366E07}	{40EE1A9C-333B-4743-99D0-2CF9C74CB61B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{B860A09B-FD41-4A9A-9097-FDE4A570E391}	{E99A41E6-9FE6-4593-9C0B-2DD96F123D53}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{0411D028-5FB3-4A5D-BC96-72B85FCA2C55}	{22C4E74B-0673-44B4-9690-2EA01E93981D}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{E4582505-634D-4CB4-BF2C-140EAB993BAB}	{B9AF361C-B844-432D-9E5C-2ED4E2AE0F3B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{DD326C94-824C-418F-A9EB-B6476727E827}	{C0DDC907-D4DC-423E-A1C0-2FE17E0B5600}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{2668DED3-D014-410C-8D9F-BFD5D94DFFDC}	{87B03F3B-307C-4EFF-A537-303579452DA6}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{08FED828-4E0E-48EC-9928-5B4D49BDB1E3}	{1BBD3224-9C35-48B7-B245-3112735C362A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{FB93527D-5FC6-450F-872F-F1CD771A5537}	{4E545288-F912-4516-839F-35C1D7D22C43}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{B071FE63-57F9-461C-8CB3-A573CC438139}	{75B728DF-526E-427B-A8D9-36CA0AC8C709}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{235F50E1-846E-4777-94EC-0A4B56C8E648}	{343F4136-4CBC-4E1A-BC11-36DA6E4A5D36}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{01AC29A9-C850-4911-85F5-F67ECDC3345A}	{8C0613AD-1571-4EC6-AA33-377FD280B158}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{CDF78B45-73E3-494E-BBF2-417673063216}	{EDDA0A88-A984-4E9E-92FE-3819092504D2}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{E7BDFFDA-A8A5-4C6B-832C-885061764E66}	{881EE7BF-B0A1-494F-8ED7-3A3410F55F4C}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{4FE18034-2840-4030-A1D9-F0E7878EAA56}	{C7CEB5E7-B7D9-4E4B-BC0A-3B594A3AC35E}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{8C9851F2-99A8-4D07-B893-4D83AB6C2C2D}	{56B99B3B-1F5E-494B-9B6C-3BA202B65A35}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{AE6FB205-B30D-4218-80F8-E329FDBDECBC}	{EFAABDC7-0973-4B8D-AF5C-3BBB1FFDBEFA}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{3047BBB9-25CC-4520-9123-EFE018D20798}	{C7F7C4B6-5DFA-45B2-8A7C-3C6480F3B84A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{DB7BAF3F-1E11-4141-A0BE-B7CA2F7592A6}	{EA5B2526-3E29-4CFD-B22F-3C779ED9BFCF}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{6CD78410-F5AE-44D0-8338-E9DB50DCB6EC}	{9FB09470-6DF3-4E54-9392-3D906FE6BBBB}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{AC662F12-8C25-4639-9DF0-62A446AD518E}	{3B1928D9-DC83-479F-8411-3DA442AA4A56}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{6F245ADC-1436-43CD-B662-02371A49BE02}	{3272070C-1DFB-48B0-8DE8-3E463DFA76E9}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{2CD273BB-DCCE-4168-B5CF-22E82DCC13EB}	{17412C25-1A79-4895-89EE-3EA50B8CBCB9}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{BC1442E8-E318-4DBD-9E79-95DA4B4AF437}	{E4EB12DF-B57D-478E-AF8A-3F6D72A951E2}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{ABA78BDC-005B-4A3B-940F-AE8BF79CEDF3}	{56001242-4B82-49ED-A67B-4082672D416B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{CD98FE83-B5E5-41DF-B232-F157A507168E}	{6DB44F5D-80AA-4966-BC07-412383E14D8A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{75EC6C38-6B69-4296-AB24-EA23B7363FBA}	{7BC62C47-D372-43E3-B5EF-4142293A63C4}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{D49F0658-19B0-40B6-AFE6-D86100EDE2F6}	{3BE650E2-588D-47F9-B04E-42A86F1E2ACF}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{2BB7C181-278F-463B-9344-FCC14479DD5A}	{6B3AA2B9-6DB7-4EA9-BB9F-43BA29B2E0F5}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{06F6333B-E0A0-4C45-8790-880D4FD914F8}	{2F60979B-0694-4171-BB1D-443C79749BE3}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{9120C267-DEB8-4F8C-B0D8-4FA82894898C}	{E86FCDC7-8018-45A2-BE72-450EA402EDE0}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{23B14377-6668-4C13-85E2-DCF537507984}	{053C0994-4EFD-43E8-B293-485168BD18E5}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{92D5E3C1-73AD-4FA3-80FC-BC97C181E2C6}	{6655C106-CBE9-4D7E-9228-49975A64AC2E}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{94443A7D-61E2-4C01-BFCF-8871F90E8F47}	{1008183F-4676-49AD-A3D6-49AD8F52E5C0}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{B9A13FC6-C3AD-405A-A152-9E21D210D5A7}	{F872ACC1-9D5A-4783-A790-4B96DB7EA29F}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{D707B76A-4480-4946-A02E-CA672E06A7BD}	{0E9F15CC-A991-4AA2-A18C-4DC82338E8DA}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{DFD7EBB9-8DFC-4EFB-A418-38260C30D642}	{86C2C791-E8AD-456B-957B-4DC9704FF22D}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{40B7063C-357F-4B1C-A6D5-1BA1800EF699}	{6FF5A947-8193-4948-8030-4FBF5AD69190}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{47136AF0-14FC-4FD1-BF3E-1A9B94C4B2DC}	{FC6E9588-56C0-4D5D-BB30-51EB1ED53DF2}	0
